idx,ENCODED_ID
977,rn_B17_18
978,rn_B17_19
979,rn_B17_2
980,rn_B17_20
981,rn_B17_21
982,rn_B17_22
983,rn_B17_23
984,rn_B17_24
985,rn_B17_25
986,rn_B17_26
987,rn_B17_27
988,rn_B17_28
989,rn_B17_29
990,rn_B17_3
991,rn_B17_30
992,rn_B17_31
993,rn_B17_32
994,rn_B17_33
995,rn_B17_34
996,rn_B17_35
997,rn_B17_36
998,rn_B17_4
999,rn_B17_5
1000,rn_B17_6
1001,rn_B17_7
1002,rn_B17_8
1003,rn_B17_9
1004,rn_B18_1
1005,rn_B18_10
1006,rn_B18_11
1007,rn_B18_12
1008,rn_B18_13
1009,rn_B18_14
1010,rn_B18_15
1011,rn_B18_16
1012,rn_B18_17
1013,rn_B18_18
1014,rn_B18_19
1015,rn_B18_2
1016,rn_B18_20
1017,rn_B18_21
1018,rn_B18_22
1019,rn_B18_23
1020,rn_B18_24
1021,rn_B18_25
1022,rn_B18_26
1023,rn_B18_27
1024,rn_B18_28
1025,rn_B18_29
1026,rn_B18_3
1027,rn_B18_30
1028,rn_B18_31
1029,rn_B18_32
1030,rn_B18_33
1031,rn_B18_34
1032,rn_B18_35
1033,rn_B18_36
1034,rn_B18_4
1035,rn_B18_5
1036,rn_B18_6
1037,rn_B18_7
1038,rn_B18_8
1039,rn_B18_9
1040,rn_B19_1
1041,rn_B19_10
1042,rn_B19_11
1043,rn_B19_12
1044,rn_B19_13
1045,rn_B19_14
1046,rn_B19_15
1047,rn_B19_16
1048,rn_B19_17
1049,rn_B19_18
1050,rn_B19_19
1051,rn_B19_2
1052,rn_B19_20
1053,rn_B19_21
1054,rn_B19_22
1055,rn_B19_23
1056,rn_B19_24
1057,rn_B19_25
1058,rn_B19_26
1059,rn_B19_27
1060,rn_B19_28
1061,rn_B19_29
1062,rn_B19_3
1063,rn_B19_30
1064,rn_B19_31
1065,rn_B19_32
1066,rn_B19_33
1067,rn_B19_34
1068,rn_B19_35
1069,rn_B19_36
1070,rn_B19_4
1071,rn_B19_5
1072,rn_B19_6
1073,rn_B19_7
1074,rn_B19_8
1075,rn_B19_9
1076,rn_B1_1
1077,rn_B1_10
1078,rn_B1_11
1079,rn_B1_12
1080,rn_B1_13
1081,rn_B1_14
1082,rn_B1_15
1083,rn_B1_16
1084,rn_B1_17
1085,rn_B1_18
1086,rn_B1_19
1087,rn_B1_2
1088,rn_B1_20
1089,rn_B1_21
1090,rn_B1_22
1091,rn_B1_23
1092,rn_B1_24
1093,rn_B1_25
1094,rn_B1_26
1095,rn_B1_27
1096,rn_B1_28
1097,rn_B1_29
1098,rn_B1_3
1099,rn_B1_30
1100,rn_B1_31
1101,rn_B1_32
1102,rn_B1_33
1103,rn_B1_34
1104,rn_B1_4
1105,rn_B1_5
1106,rn_B1_6
1107,rn_B1_7
1108,rn_B1_8
1109,rn_B1_9
1110,rn_B20_1
1111,rn_B20_10
1112,rn_B20_11
1113,rn_B20_12
1114,rn_B20_13
1115,rn_B20_14
1116,rn_B20_15
1117,rn_B20_16
1118,rn_B20_17
1119,rn_B20_18
1120,rn_B20_19
1121,rn_B20_2
1122,rn_B20_20
1123,rn_B20_21
1124,rn_B20_22
1125,rn_B20_23
1126,rn_B20_24
1127,rn_B20_25
1128,rn_B20_26
1129,rn_B20_27
1130,rn_B20_28
1131,rn_B20_29
1132,rn_B20_3
1133,rn_B20_30
1134,rn_B20_31
1135,rn_B20_32
1136,rn_B20_33
1137,rn_B20_34
1138,rn_B20_4
1139,rn_B20_5
1140,rn_B20_6
1141,rn_B20_7
1142,rn_B20_8
1143,rn_B20_9
1144,rn_B2_1
1145,rn_B2_10
1146,rn_B2_11
1147,rn_B2_12
1148,rn_B2_13
1149,rn_B2_14
1150,rn_B2_15
1151,rn_B2_16
1152,rn_B2_17
1153,rn_B2_18
1154,rn_B2_19
1155,rn_B2_2
1156,rn_B2_20
1157,rn_B2_21
1158,rn_B2_22
1159,rn_B2_23
1160,rn_B2_24
1161,rn_B2_25
1162,rn_B2_26
1163,rn_B2_27
1164,rn_B2_28
1165,rn_B2_29
1166,rn_B2_3
1167,rn_B2_30
1168,rn_B2_31
1169,rn_B2_32
1170,rn_B2_33
1171,rn_B2_34
1172,rn_B2_35
1173,rn_B2_36
1174,rn_B2_4
1175,rn_B2_5
1176,rn_B2_6
1177,rn_B2_7
1178,rn_B2_8
1179,rn_B2_9
1180,rn_B3_1
1181,rn_B3_10
1182,rn_B3_11
1183,rn_B3_12
1184,rn_B3_13
1185,rn_B3_14
1186,rn_B3_15
1187,rn_B3_16
1188,rn_B3_17
1189,rn_B3_18
1190,rn_B3_19
1191,rn_B3_2
1192,rn_B3_20
